Gene,Count
Sobic.007G153700,921
Sobic.007G155300,49
Sobic.007G155900,1789
Sobic.007G166100,302
Sobic.007G173200,470
Sobic.007G177100,3200
Sobic.007G178300,3054
Sobic.007G180300,3644
Sobic.007G181500,1990
Sobic.007G182500,291
Sobic.007G183100,1143
Sobic.007G188701,76
Sobic.007G189800,1515
Sobic.007G190333,1365
Sobic.007G192900,2
Sobic.007G197700,3
Sobic.007G200400,7
Sobic.007G207000,2824
Sobic.007G209500,24
Sobic.007G210700,85
Sobic.007G211000,379
Sobic.007G212900,619
Sobic.007G217700,1049
Sobic.007G219500,1897
Sobic.007G223200,675
Sobic.007G223300,4
Sobic.007G224400,226
Sobic.007G225600,1762
Sobic.007G226600,687
Sobic.008G005000,1143
Sobic.008G014801,724
Sobic.008G016300,28
Sobic.008G020300,12
Sobic.008G020700,351
Sobic.008G021800,503
Sobic.008G023401,85
Sobic.008G029000,34
Sobic.008G029200,878
Sobic.008G029400,7
Sobic.008G036900,367
Sobic.008G042700,790
Sobic.008G044000,2277
Sobic.008G044100,1289
Sobic.008G046600,2734
Sobic.008G046700,23
Sobic.008G047300,5
Sobic.008G051400,463
Sobic.008G055800,93
Sobic.008G060300,525
Sobic.008G061601,5
Sobic.008G064250,2
Sobic.008G067900,1319
Sobic.008G072800,286
Sobic.008G073200,3353
Sobic.008G073400,130
Sobic.008G083200,560
Sobic.008G088842,1382
Sobic.008G092300,50
Sobic.008G094700,2618
Sobic.008G096000,2415
Sobic.008G100100,1499
Sobic.008G107500,702
Sobic.008G112500,468
Sobic.008G129300,1956
Sobic.008G133700,2014
Sobic.008G136100,2188
Sobic.008G138600,1100
Sobic.008G142100,612
Sobic.008G144500,631
Sobic.008G147101,1810
Sobic.008G147800,67
Sobic.008G149100,5
Sobic.008G153600,2761
Sobic.008G157100,1857
Sobic.008G160500,1338
Sobic.008G160600,1145
Sobic.008G163700,2506
Sobic.008G164800,1809
Sobic.008G165000,1554
Sobic.008G168100,1496
Sobic.008G168300,3154
Sobic.008G169400,433
Sobic.008G174100,6
Sobic.008G174650,493
Sobic.008G176300,623
Sobic.008G179800,550
Sobic.008G183900,3750
Sobic.008G186100,2
Sobic.008G187001,132
Sobic.008G187500,54
Sobic.008G188900,1220
Sobic.009G006900,200
Sobic.009G011000,304
Sobic.009G011100,1796
Sobic.009G014400,208
Sobic.009G016600,2141
Sobic.009G016633,386
Sobic.009G024400,602
Sobic.009G024600,2487
Sobic.009G027300,1644
Sobic.009G028300,1617
Sobic.009G028500,1649
Sobic.009G030100,1779
Sobic.009G034800,1285
Sobic.009G036400,647
Sobic.009G050600,5009
Sobic.009G057600,239
Sobic.009G068900,1093
Sobic.009G071500,293
Sobic.009G072100,183
Sobic.009G072200,1495
Sobic.009G073500,257
Sobic.009G075500,3
Sobic.009G075600,3885
Sobic.009G083800,5
Sobic.009G088100,73
Sobic.009G092100,1456
Sobic.009G100500,2840
Sobic.009G101400,1748
Sobic.009G102200,133
Sobic.009G103900,10
Sobic.009G120600,462
Sobic.009G124200,11
Sobic.009G135000,2883
Sobic.009G137100,989
Sobic.009G140500,1882
Sobic.009G141500,2051
Sobic.009G142200,1460
Sobic.009G142500,545
Sobic.009G143400,1725
Sobic.009G143700,1493
Sobic.009G148100,1942
Sobic.009G152100,3757
Sobic.009G155050,617
Sobic.009G155200,2570
Sobic.009G157500,3823
Sobic.009G159900,1754
Sobic.009G160000,1445
Sobic.009G164600,349
Sobic.009G166200,3786
Sobic.009G170800,256
Sobic.009G171600,3011
Sobic.009G175800,1790
Sobic.009G178000,1388
Sobic.009G178800,117
Sobic.009G180500,1789
Sobic.009G181900,292
Sobic.009G182800,2688
Sobic.009G184300,52
Sobic.009G184400,2694
Sobic.009G187500,31
Sobic.009G187900,322
Sobic.009G191600,457
Sobic.009G195000,2666
Sobic.009G196900,770
Sobic.009G198100,5
Sobic.009G200500,27
Sobic.009G202000,650
Sobic.009G205100,254
Sobic.009G208000,1946
Sobic.009G211700,3798
Sobic.009G212800,2581
Sobic.009G221400,2270
Sobic.009G224500,622
Sobic.009G230700,2701
Sobic.009G231800,4483
Sobic.009G234100,849
Sobic.009G235500,1639
Sobic.009G237600,144
Sobic.009G238200,1364
Sobic.009G238500,1624
Sobic.009G239600,1539
Sobic.009G244200,728
Sobic.009G244300,3321
Sobic.009G244600,6
Sobic.009G247300,1500
Sobic.009G247700,268
Sobic.009G250000,1753
Sobic.009G260600,508
Sobic.010G000100,140
Sobic.010G003700,115
Sobic.010G004300,804
Sobic.010G006300,1521
Sobic.010G015000,4
Sobic.010G016500,1798
Sobic.010G017400,85
Sobic.010G021200,2971
Sobic.010G022400,894
Sobic.010G025850,128
Sobic.010G029200,12
Sobic.010G030200,1097
Sobic.010G035200,1985
Sobic.010G035300,52
Sobic.010G041700,728
Sobic.010G045700,2505
Sobic.010G051800,33
Sobic.010G052500,1033
Sobic.010G052600,338
Sobic.010G056000,16
Sobic.010G063566,19
Sobic.010G064700,2493
Sobic.010G071600,2886
Sobic.010G071700,3016
Sobic.010G073600,1574
Sobic.010G077200,37
Sobic.010G079800,10
Sobic.010G081800,942
Sobic.010G085400,2714
Sobic.010G089700,2150
Sobic.010G092100,1416
Sobic.010G096300,861
Sobic.010G101100,139
Sobic.010G104100,4338
Sobic.010G106601,2088
Sobic.010G108500,18
Sobic.010G111800,625
Sobic.010G115800,1648
Sobic.010G116200,119
Sobic.010G123500,254
Sobic.010G131900,991
Sobic.010G147000,2177
Sobic.010G148100,410
Sobic.010G160900,1935
Sobic.010G162300,5
Sobic.010G163900,228
Sobic.010G164400,2131
Sobic.010G170600,2693
Sobic.010G172800,907
Sobic.010G173400,998
Sobic.010G181200,244
Sobic.010G183400,1726
Sobic.010G183600,1981
Sobic.010G186100,1186
Sobic.010G190400,149
Sobic.010G191100,2920
Sobic.010G192432,141
Sobic.010G193800,1853
Sobic.010G194900,718
Sobic.010G199000,987
Sobic.010G201388,574
Sobic.010G207500,2018
Sobic.010G207600,3046
Sobic.010G208300,1133
Sobic.010G209100,2935
Sobic.010G209200,2376
Sobic.010G214000,1840
Sobic.010G218500,409
Sobic.010G220000,1716
Sobic.010G221400,408
Sobic.010G223700,1017
Sobic.010G224200,735
Sobic.010G227300,1543
Sobic.010G228700,2335
Sobic.010G229000,389
Sobic.010G230200,317
Sobic.010G236300,3260
Sobic.010G237800,108
Sobic.010G240900,3836
Sobic.010G247500,2
Sobic.010G249200,1701
Sobic.010G253300,1183
Sobic.010G254200,2876
Sobic.010G254300,343
Sobic.010G254900,602
Sobic.010G257000,287
Sobic.010G262200,32
Sobic.010G267500,4588
Sobic.010G273700,1376
Sobic.010G275700,3615
